"","X","Genome","Order","Family","Genus","VC","VC.Status","Size","VC.Subcluster","VC.Subcluster.Size","Quality","Adj.P.value","Topology.Confidence.Score","Genera.in.VC","Families.in.VC","Orders.in.VC","Genus.Confidence.Score"
"1",0,"Achromobacter~phage~83-24","Caudovirales","Siphoviridae","Jwxvirus","0_0","Clustered",2,"VC_0_0",2,0.2166,0.95077081,0.206,1,1,1,1
"2",1,"Achromobacter~phage~JWAlpha","Caudovirales","Podoviridae","Jwalphavirus","6_0","Clustered",13,"VC_6_0",13,0.5271,1,0.5271,5,2,2,0.8205
"3",2,"Achromobacter~phage~JWX","Caudovirales","Siphoviridae","Jwxvirus","0_0","Clustered",2,"VC_0_0",2,0.2166,0.95077081,0.206,1,1,1,1
"4",3,"Achromobacter~phage~phiAxp-3","Caudovirales","Podoviridae","Jwalphavirus","6_0","Clustered",13,"VC_6_0",13,0.5271,1,0.5271,5,2,2,0.8205
"5",4,"Acidianus~bottle-shaped~virus","Unassigned","Ampullaviridae","Ampullavirus","16_0","Clustered",3,"VC_16_0",3,1,1,1,2,2,1,1
"6",5,"Acidianus~bottle-shaped~virus~2","Unassigned","Unassigned","Unassigned","16_0","Clustered",3,"VC_16_0",3,1,1,1,2,2,1,1
"7",6,"Acidianus~bottle-shaped~virus~3","Unassigned","Unassigned","Unassigned","16_0","Clustered",3,"VC_16_0",3,1,1,1,2,2,1,1
"8",7,"Acidianus~filamentous~virus~3","Ligamenvirales","Lipothrixviridae","Betalipothrixvirus","18_0","Clustered",6,"VC_18_0",6,0.9554,0.99993866,0.9553,1,1,1,1
"9",8,"Acidianus~filamentous~virus~6","Ligamenvirales","Lipothrixviridae","Betalipothrixvirus","18_0","Clustered",6,"VC_18_0",6,0.9554,0.99993866,0.9553,1,1,1,1
"10",9,"Acidianus~filamentous~virus~7","Ligamenvirales","Lipothrixviridae","Betalipothrixvirus","18_0","Clustered",6,"VC_18_0",6,0.9554,0.99993866,0.9553,1,1,1,1
"11",10,"Acidianus~filamentous~virus~8","Ligamenvirales","Lipothrixviridae","Betalipothrixvirus","18_0","Clustered",6,"VC_18_0",6,0.9554,0.99993866,0.9553,1,1,1,1
"12",11,"Acidianus~filamentous~virus~9","Ligamenvirales","Lipothrixviridae","Betalipothrixvirus","18_0","Clustered",6,"VC_18_0",6,0.9554,0.99993866,0.9553,1,1,1,1
"13",12,"Acidianus~spindle-shaped~virus~1","Unassigned","Fuselloviridae","Betafusellovirus","20_0","Clustered",9,"VC_20_0",9,0.9084,0.99999774,0.9084,2,1,1,1
"14",13,"Acinetobacter~bacteriophage~AP22","Caudovirales","Myoviridae","Ap22virus","23_0","Clustered",4,"VC_23_0",4,0.7512,0.9998533,0.7511,2,2,2,1
"15",14,"Acinetobacter~phage~AB3","Caudovirales","Podoviridae","Fri1virus","25_0","Clustered",10,"VC_25_0",10,0.6315,1,0.6315,2,2,2,1
"16",15,"Acinetobacter~phage~Abp1","Caudovirales","Podoviridae","Fri1virus","25_0","Clustered",10,"VC_25_0",10,0.6315,1,0.6315,2,2,2,1
"17",16,"Acinetobacter~phage~Ac42","Unassigned","Unassigned","Unassigned","29_5","Clustered/Singleton",1,"VC_29_5",1,0,1,0,1,1,1,1
"18",17,"Acinetobacter~phage~Acj61","Unassigned","Unassigned","Unassigned","29_4","Clustered/Singleton",1,"VC_29_4",1,0,1,0,1,1,1,1
"19",18,"Acinetobacter~phage~Acj9","Unassigned","Unassigned","Unassigned","29_3","Clustered",2,"VC_29_3",2,0.0162,0.956018,0.0155,1,1,1,1
"20",19,"Acinetobacter~phage~Bphi-B1251","Unassigned","Unassigned","Unassigned","35_0","Clustered",2,"VC_35_0",2,0.1681,0.94917208,0.1596,1,1,1,1
"21",20,"Acinetobacter~phage~Fri1","Caudovirales","Podoviridae","Fri1virus","25_0","Clustered",10,"VC_25_0",10,0.6315,1,0.6315,2,2,2,1
"22",21,"Acinetobacter~phage~IME_AB3","Unassigned","Unassigned","Unassigned","1_0","Clustered",8,"VC_1_0",8,0.5962,1,0.5962,3,2,2,1
"23",22,"Acinetobacter~phage~LZ35","Unassigned","Unassigned","Unassigned","23_0","Clustered",4,"VC_23_0",4,0.7512,0.9998533,0.7511,2,2,2,1
"24",23,"Acinetobacter~phage~Petty","Unassigned","Unassigned","Unassigned","25_0","Clustered",10,"VC_25_0",10,0.6315,1,0.6315,2,2,2,1
"25",24,"Acinetobacter~phage~YMC-13-01-C62","Caudovirales","Myoviridae","Ap22virus","23_0","Clustered",4,"VC_23_0",4,0.7512,0.9998533,0.7511,2,2,2,1
"26",25,"Acinetobacter~phage~YMC11/12/R2315","Unassigned","Unassigned","Unassigned","23_0","Clustered",4,"VC_23_0",4,0.7512,0.9998533,0.7511,2,2,2,1
